Size (d.nm) - 30 bp Before Dextrin [Steady state]	Intensity (Percent) - 30 bp Before Dextrin [Steady state]	Size (d.nm) - 30 bp Dextrin 1min [Steady state]	Intensity (Percent) - 30 bp Dextrin 1min [Steady state]	Size (d.nm) - 30 bp Dextrin 5min [Steady state]	Intensity (Percent) - 30 bp Dextrin 5min [Steady state]	Size (d.nm) - Ctrl Before Dextrin [Steady state]	Intensity (Percent) - Ctrl Before Dextrin [Steady state]	Size (d.nm) - Ctrl Dextrin 1min [Steady state]	Intensity (Percent) - Ctrl Dextrin 1min [Steady state]	Size (d.nm) - 30 bp Dextrin 30min [Steady state]	Intensity (Percent) - 30 bp Dextrin 30min [Steady state]	Size (d.nm) - Ctrl Dextrin 10min [Steady state]	Intensity (Percent) - Ctrl Dextrin 10min [Steady state]	Size (d.nm) - Ctrl Dextrin 30min [Steady state]	Intensity (Percent) - Ctrl Dextrin 30min [Steady state]
4.581	0	4.581	0	4.581	0	4.581	0	4.581	0	4.581	0	4.581	0	4.581	0
4.913	0	4.913	0	4.913	0	4.913	0	4.913	0	4.913	0	4.913	0	4.913	0
5.268	0	5.268	0	5.268	0	5.268	0	5.268	0	5.268	0	5.268	0	5.268	0
5.65	0	5.65	0	5.65	0	5.65	0	5.65	0	5.65	0	5.65	0	5.65	0
6.059	0	6.059	0	6.059	0	6.059	0	6.059	0	6.059	0	6.059	0	6.059	0
6.497	0	6.497	0	6.497	0	6.497	0	6.497	0	6.497	0	6.497	0	6.497	0
6.968	0	6.968	0	6.968	0	6.968	0	6.968	0	6.968	0	6.968	0	6.968	0
7.472	0	7.472	0	7.472	0	7.472	0	7.472	0	7.472	0	7.472	0	7.472	0
8.013	0	8.013	0	8.013	0	8.013	0	8.013	0	8.013	0	8.013	0	8.013	0
8.593	0	8.593	0	8.593	0	8.593	0	8.593	0	8.593	0	8.593	0	8.593	0
9.215	0	9.215	0	9.215	0	9.215	0	9.215	0	9.215	0	9.215	0	9.215	0
9.882	0	9.882	0	9.882	0	9.882	0	9.882	0	9.882	0	9.882	0	9.882	0
10.6	0	10.6	0	10.6	0	10.6	0	10.6	0	10.6	0	10.6	0	10.6	0
11.37	0	11.37	0	11.37	0	11.37	0	11.37	0	11.37	0	11.37	0	11.37	0
12.19	0	12.19	0	12.19	0	12.19	0	12.19	0	12.19	0	12.19	0	12.19	0
13.07	0	13.07	0	13.07	0	13.07	0	13.07	0	13.07	0	13.07	0	13.07	0
14.02	0	14.02	0	14.02	0	14.02	0	14.02	0	14.02	0	14.02	0	14.02	0
15.03	0	15.03	0	15.03	0	15.03	0	15.03	0	15.03	0	15.03	0	15.03	0
16.12	0	16.12	0	16.12	0	16.12	0	16.12	0	16.12	0	16.12	0	16.12	0
17.29	0	17.29	0	17.29	0	17.29	0	17.29	0	17.29	0	17.29	0	17.29	0
18.54	0	18.54	0	18.54	0	18.54	0	18.54	0	18.54	0	18.54	0	18.54	0
19.88	0	19.88	0	19.88	0	19.88	0	19.88	0	19.88	0	19.88	0	19.88	0
21.32	0	21.32	0	21.32	0	21.32	0	21.32	0	21.32	0	21.32	0	21.32	0
22.86	0	22.86	0	22.86	0	22.86	0	22.86	0	22.86	0	22.86	0	22.86	0
24.52	0	24.52	0	24.52	0	24.52	0	24.52	0	24.52	0	24.52	0	24.52	0
26.29	0	26.29	0	26.29	0	26.29	0	26.29	0	26.29	0	26.29	0	26.29	0
28.2	0	28.2	0	28.2	0	28.2	0	28.2	0	28.2	0	28.2	0	28.2	0
30.24	0	30.24	0	30.24	0	30.24	0	30.24	0	30.24	0	30.24	0	30.24	0
32.43	0	32.43	0	32.43	0	32.43	0	32.43	0	32.43	0	32.43	0	32.43	0
34.77	0	34.77	0	34.77	0	34.77	0	34.77	0	34.77	0	34.77	0	34.77	0
37.29	0	37.29	0	37.29	0	37.29	0	37.29	0	37.29	0	37.29	0	37.29	0
39.99	0	39.99	0	39.99	0	39.99	0	39.99	0	39.99	0	39.99	0	39.99	0
42.89	0	42.89	0	42.89	0	42.89	0	42.89	0	42.89	0	42.89	0	42.89	0
45.99	0	45.99	0	45.99	0	45.99	0	45.99	0	45.99	0	45.99	0	45.99	0
49.32	0	49.32	0	49.32	0	49.32	0	49.32	0	49.32	0	49.32	0	49.32	0
52.89	0	52.89	0	52.89	0	52.89	0	52.89	0	52.89	1.471	52.89	0	52.89	0
56.72	0	56.72	0	56.72	0	56.72	0	56.72	0	56.72	9.893	56.72	0	56.72	0
60.83	0	60.83	0	60.83	0	60.83	0	60.83	0	60.83	19.54	60.83	0	60.83	0
65.23	0	65.23	0	65.23	0	65.23	0	65.23	0	65.23	23.29	65.23	0	65.23	0
69.95	0	69.95	0	69.95	0	69.95	0	69.95	0	69.95	18.39	69.95	0	69.95	0.1312
75.02	0	75.02	0	75.02	0.8171	75.02	0	75.02	1.233	75.02	8.279	75.02	0.1898	75.02	1.153
80.45	0	80.45	2.515	80.45	4.234	80.45	0	80.45	4.047	80.45	0.3954	80.45	2.183	80.45	3.14
86.27	0	86.27	7.303	86.27	9.386	86.27	0	86.27	7.815	86.27	0	86.27	5.811	86.27	5.76
92.52	0	92.52	12.69	92.52	14.33	92.52	0.7252	92.52	11.53	92.52	0	92.52	10.03	92.52	8.497
99.21	0	99.21	16.72	99.21	17.18	99.21	4.109	99.21	14.2	99.21	0	99.21	13.61	99.21	10.82
106.4	0	106.4	18.01	106.4	16.88	106.4	9.421	106.4	15.19	106.4	0	106.4	15.55	106.4	12.29
114.1	0	114.1	16.13	114.1	13.53	114.1	14.79	114.1	14.27	114.1	0	114.1	15.37	114.1	12.66
122.4	0.9649	122.4	11.75	122.4	8.355	122.4	18.31	122.4	11.71	122.4	0	122.4	13.17	122.4	11.87
131.2	4.864	131.2	6.418	131.2	3.327	131.2	18.76	131.2	8.166	131.2	0	131.2	9.598	131.2	10.1
140.7	10.82	140.7	2.037	140.7	0.3375	140.7	16	140.7	4.533	140.7	0	140.7	5.629	140.7	7.67
150.9	16.63	150.9	0	150.9	0	150.9	10.98	150.9	1.687	150.9	0	150.9	2.314	150.9	5.031
161.8	20.05	161.8	0	161.8	0	161.8	5.469	161.8	0.2005	161.8	0	161.8	0.416	161.8	2.66
173.5	19.63	173.5	0	173.5	0	173.5	1.43	173.5	0	173.5	0	173.5	0	173.5	0.9528
186.1	15.37	186.1	0	186.1	0	186.1	0	186.1	0	186.1	0	186.1	0	186.1	0.1111
199.6	8.848	199.6	0	199.6	0	199.6	0	199.6	0	199.6	0	199.6	0	199.6	0
214	2.825	214	0	214	0	214	0	214	0	214	0	214	0	214	0
229.5	0	229.5	0	229.5	0	229.5	0	229.5	0	229.5	0	229.5	0	229.5	0
246.1	0	246.1	0	246.1	0	246.1	0	246.1	0	246.1	0	246.1	0	246.1	0
264	0	264	0	264	0	264	0	264	0	264	0	264	0	264	0
283.1	0	283.1	0	283.1	0	283.1	0	283.1	0	283.1	0	283.1	0	283.1	0
303.6	0	303.6	0	303.6	0	303.6	0	303.6	0	303.6	0	303.6	0	303.6	0
325.5	0	325.5	0	325.5	0	325.5	0	325.5	0	325.5	0	325.5	0	325.5	0
349.1	0	349.1	0	349.1	0	349.1	0	349.1	0	349.1	0	349.1	0	349.1	0
374.4	0	374.4	0	374.4	0	374.4	0	374.4	0	374.4	0	374.4	0	374.4	0
401.5	0	401.5	0	401.5	1.285	401.5	0	401.5	0	401.5	0	401.5	0	401.5	0.1543
430.6	0	430.6	0	430.6	2.388	430.6	0	430.6	0	430.6	9.184	430.6	0	430.6	0.4838
461.7	0	461.7	0	461.7	0.6126	461.7	0	461.7	0	461.7	0	461.7	0	461.7	0.5129
495.2	0	495.2	0	495.2	0	495.2	0	495.2	0	495.2	0	495.2	0	495.2	0
531	0	531	0	531	0	531	0	531	0	531	0	531	0	531	0
569.4	0	569.4	0	569.4	0	569.4	0	569.4	0	569.4	0	569.4	0	569.4	0
610.7	0	610.7	0	610.7	0	610.7	0	610.7	0	610.7	0	610.7	0	610.7	0
654.9	0	654.9	0	654.9	0	654.9	0	654.9	0	654.9	0	654.9	0	654.9	0
702.3	0	702.3	0	702.3	0	702.3	0	702.3	0	702.3	0	702.3	0	702.3	0
753.1	0	753.1	0	753.1	0	753.1	0	753.1	0	753.1	0	753.1	0	753.1	0
807.7	0	807.7	0	807.7	0	807.7	0	807.7	0	807.7	0	807.7	0	807.7	0
866.1	0	866.1	0	866.1	0	866.1	0	866.1	0	866.1	0	866.1	0	866.1	0
928.8	0	928.8	0	928.8	0	928.8	0	928.8	0	928.8	0	928.8	0	928.8	0
996.1	0	996.1	0	996.1	0	996.1	0	996.1	0	996.1	0	996.1	0	996.1	0
1068	0	1068	0	1068	0	1068	0	1068	0	1068	0	1068	0	1068	0
1146	0	1146	0	1146	0	1146	0	1146	0	1146	0	1146	0	1146	0
1228	0	1228	0	1228	0	1228	0	1228	0	1228	0	1228	0	1228	0
1317	0	1317	0	1317	0	1317	0	1317	0	1317	0	1317	0	1317	0
1413	0	1413	0	1413	0	1413	0	1413	0	1413	0	1413	0	1413	0
1515	0	1515	0	1515	0	1515	0	1515	0	1515	0	1515	0	1515	0
1625	0	1625	0	1625	0	1625	0	1625	0	1625	0	1625	0	1625	0
1742	0	1742	0	1742	0	1742	0	1742	0	1742	0	1742	0	1742	0
1868	0	1868	0	1868	0	1868	0	1868	0	1868	0	1868	0	1868	0
2004	0	2004	0	2004	0	2004	0	2004	0	2004	0	2004	0	2004	0
2149	0	2149	0	2149	0	2149	0	2149	0	2149	0	2149	0	2149	0
2304	0	2304	0	2304	0	2304	0	2304	0	2304	0	2304	0	2304	0
2471	0	2471	0	2471	0	2471	0	2471	0	2471	0	2471	0	2471	0
2650	0	2650	0	2650	0	2650	0	2650	0	2650	0	2650	0	2650	0
2842	0	2842	0	2842	0	2842	0	2842	0	2842	0	2842	0	2842	0
3048	0	3048	0	3048	0	3048	0	3048	0	3048	0	3048	0	3048	0
3268	0	3268	0	3268	0	3268	0	3268	0	3268	0	3268	0	3268	0
3505	0	3505	0	3505	0	3505	0	3505	0	3505	0	3505	0	3505	0
3759	0	3759	0	3759	0	3759	0	3759	0	3759	0	3759	0	3759	0
4031	0	4031	0	4031	0	4031	0	4031	0	4031	0	4031	0	4031	0
4323	0	4323	0	4323	0	4323	0	4323	0	4323	0	4323	0	4323	0
4635	0	4635	0	4635	0	4635	0	4635	0	4635	0	4635	0	4635	0
4971	0	4971	0	4971	0	4971	0	4971	0	4971	0	4971	0	4971	0
5331	0	5331	0	5331	0	5331	0	5331	0	5331	0	5331	0	5331	0
5717	0	5717	0	5717	0	5717	0	5717	0	5717	0	5717	0	5717	0
6131	0	6131	0	6131	0	6131	0	6131	0	6131	0	6131	0	6131	0
6575	0	6575	0	6575	0	6575	0	6575	0	6575	0	6575	0	6575	0
7051	0	7051	0	7051	0	7051	0	7051	0	7051	0	7051	0	7051	0
7561	0	7561	0	7561	0	7561	0	7561	0	7561	0	7561	0	7561	0
8108	0	8108	0	8108	0	8108	0	8108	0	8108	0	8108	0	8108	0
8695	0	8695	0	8695	0	8695	0	8695	0	8695	0	8695	0	8695	0
9325	0	9325	0	9325	0	9325	0	9325	0	9325	0	9325	0	9325	0
1.00E+04	0	1.00E+04	0	1.00E+04	0	1.00E+04	0	1.00E+04	0	1.00E+04	0	1.00E+04	0	1.00E+04	0
